"","Primary Type","Location Description","Arrest","Domestic","District","Hour","DayofWeek"
"9080","Burglary","Residential","No","No","2","8","Sunday"
"9081","Battery","Vehicle/Boat","Yes","No","11","20","Saturday"
"9082","Burglary","Residential","No","No","19","21","Tuesday"
"9083","Battery","Street","No","No","7","17","Monday"
"9084","Assault","Business/Retail/Resturant","No","No","2","16","Wednesday"
"9085","Theft","Street","No","No","1","11","Friday"
"9086","Assault","Street","Yes","No","5","20","Monday"
"9087","Other","Residential","No","Yes","25","15","Tuesday"
"9088","Theft","Street","No","No","14","18","Sunday"
"9089","Battery","Street","Yes","No","3","14","Tuesday"
"9090","Fraud","Business/Retail/Resturant","No","No","18","5","Saturday"
"9091","Theft","Residential","No","No","3","18","Saturday"
"9092","Damage","Residential","No","Yes","12","17","Saturday"
"9093","Damage","Residential","No","No","1","17","Saturday"
"9094","Theft","Business/Retail/Resturant","No","No","1","18","Monday"
"9095","Auto Theft","Street","No","No","25","21","Saturday"
"9096","Theft","Business/Retail/Resturant","No","No","10","12","Monday"
"9097","Weapons","Street","Yes","No","11","2","Saturday"
"9098","Battery","Residential","Yes","No","5","19","Thursday"
"9099","Fraud","Residential","No","No","17","4","Thursday"
"9100","Theft","Business/Retail/Resturant","No","No","12","12","Thursday"
"9101","Damage","Street","No","No","22","17","Sunday"
"9102","Assault","Residential","No","No","11","10","Saturday"
"9103","Battery","Residential","No","No","18","1","Friday"
"9104","Damage","Residential","No","No","8","6","Wednesday"
"9105","Robbery","Street","No","No","8","0","Friday"
"9106","Assault","School/College","No","No","25","14","Friday"
"9107","Other","Residential","No","Yes","10","22","Sunday"
"9108","Fraud","Other","No","No","12","20","Tuesday"
"9109","Weapons","Street","Yes","No","22","0","Monday"
"9110","Battery","Other","No","No","1","14","Friday"
"9111","Theft","Residential","No","Yes","4","10","Tuesday"
"9112","Theft","Business/Retail/Resturant","Yes","No","14","21","Monday"
"9113","Other","Other","No","No","8","20","Monday"
"9114","Drugs/Alcohol","Other","Yes","No","11","16","Saturday"
"9115","Burglary","Other","No","No","5","17","Friday"
"9116","Battery","School/College","No","No","4","9","Wednesday"
"9117","Assault","Medical/Hospital","Yes","No","7","16","Sunday"
"9118","Battery","Street","Yes","No","6","3","Sunday"
"9119","Assault","Other","No","No","16","22","Sunday"
"9120","Fraud","Residential","No","No","3","12","Monday"
"9121","Battery","Street","No","No","10","18","Sunday"
"9122","Theft","Residential","No","No","19","13","Saturday"
"9123","Theft","Business/Retail/Resturant","No","No","4","15","Friday"
"9124","Theft","Business/Retail/Resturant","Yes","No","25","12","Saturday"
"9125","Theft","Business/Retail/Resturant","No","No","22","17","Wednesday"
"9126","Theft","Street","No","No","3","0","Sunday"
"9127","Theft","Street","No","No","22","8","Thursday"
"9128","Burglary","Residential","Yes","No","25","12","Tuesday"
"9129","Battery","Street","No","Yes","2","2","Saturday"
"9130","Fraud","Business/Retail/Resturant","No","No","18","17","Wednesday"
"9131","Fraud","Residential","No","No","24","0","Thursday"
"9132","Theft","Street","No","No","24","13","Friday"
"9133","Battery","Vehicle/Boat","No","No","7","18","Wednesday"
"9134","Other","Residential","No","Yes","20","15","Saturday"
"9135","Battery","Residential","No","No","15","13","Saturday"
"9136","Damage","Residential","No","No","6","17","Sunday"
"9137","Theft","Street","No","No","6","21","Sunday"
"9138","Theft","Business/Retail/Resturant","Yes","No","1","16","Thursday"
"9139","Damage","Street","No","Yes","18","1","Sunday"
"9140","Drugs/Alcohol","Street","Yes","No","11","13","Wednesday"
"9141","Burglary","Residential","No","No","18","19","Tuesday"
"9142","Battery","Street","No","No","16","19","Tuesday"
"9143","Other","Residential","No","Yes","18","7","Monday"
"9144","Other","Residential","No","No","22","17","Saturday"
"9145","Damage","Residential","No","No","22","15","Tuesday"
"9146","Disturbing the Peace","Residential","Yes","No","17","20","Saturday"
"9147","Damage","Vehicle/Boat","No","No","15","11","Monday"
"9148","Other","Street","Yes","No","25","8","Saturday"
"9149","Battery","Street","No","No","16","3","Sunday"
"9150","Assault","Residential","Yes","Yes","11","21","Wednesday"
"9151","Robbery","Other","No","No","7","15","Thursday"
"9152","Battery","Residential","No","No","19","14","Saturday"
"9153","Battery","Residential","No","Yes","24","7","Saturday"
"9154","Other","Street","Yes","No","22","16","Wednesday"
"9155","Assault","Residential","No","No","11","14","Monday"
"9156","Weapons","Street","No","No","6","13","Sunday"
"9157","Damage","Street","Yes","Yes","4","19","Saturday"
"9158","Theft","Business/Retail/Resturant","No","No","4","19","Tuesday"
"9159","Robbery","Street","Yes","No","8","14","Thursday"
"9160","Battery","Street","Yes","No","25","17","Monday"
"9161","Battery","Street","No","No","16","18","Thursday"
"9162","Theft","Street","No","No","18","18","Tuesday"
"9163","Assault","Residential","No","No","4","15","Tuesday"
"9164","Damage","Street","No","No","25","14","Wednesday"
"9165","Battery","Residential","Yes","Yes","7","6","Wednesday"
"9166","Burglary","Other","No","No","5","14","Sunday"
"9167","Battery","Street","No","No","11","4","Sunday"
"9168","Battery","Business/Retail/Resturant","No","No","7","15","Thursday"
"9169","Auto Theft","Street","No","No","11","17","Wednesday"
"9170","Drugs/Alcohol","Street","Yes","No","8","13","Wednesday"
"9171","Theft","Business/Retail/Resturant","Yes","No","12","7","Monday"
"9172","Theft","Business/Retail/Resturant","No","No","1","10","Wednesday"
"9173","Robbery","Street","No","No","15","0","Wednesday"
"9174","Other","Business/Retail/Resturant","No","No","8","0","Sunday"
"9175","Battery","Street","No","No","14","17","Friday"
"9176","Other","Residential","No","Yes","25","4","Sunday"
"9177","Sexual","Residential","No","No","10","23","Saturday"
"9178","Fraud","Airport","No","No","16","18","Monday"
"9179","Other","Residential","No","Yes","9","0","Monday"
"9180","Assault","Street","No","No","2","5","Sunday"
"9181","Assault","Residential","No","Yes","7","16","Friday"
"9182","Battery","Street","No","No","16","1","Thursday"
"9183","Damage","Street","No","No","18","9","Wednesday"
"9184","Theft","Other","No","No","1","15","Friday"
"9185","Other","Street","Yes","No","10","20","Monday"
"9186","Auto Theft","Street","No","No","25","2","Tuesday"
"9187","Robbery","Residential","No","No","11","16","Thursday"
"9188","Theft","Other","No","No","8","11","Friday"
"9189","Theft","Residential","No","No","2","10","Tuesday"
"9190","Battery","Residential","No","Yes","22","7","Tuesday"
"9191","Damage","Residential","No","No","15","22","Friday"
"9192","Battery","Residential","No","Yes","25","5","Thursday"
"9193","Assault","Public Transportation","No","No","9","16","Wednesday"
"9194","Other","Street","No","Yes","8","19","Friday"
"9195","Battery","School/College","No","Yes","8","14","Tuesday"
"9196","Damage","Residential","No","No","4","1","Wednesday"
"9197","Trespass","Business/Retail/Resturant","Yes","No","25","18","Saturday"
"9198","Theft","Other","No","No","17","18","Wednesday"
"9199","Assault","Street","No","No","11","11","Wednesday"
"9200","Damage","Residential","No","Yes","24","14","Saturday"
"9201","Drugs/Alcohol","Street","Yes","No","10","19","Wednesday"
"9202","Battery","Residential","No","Yes","6","16","Tuesday"
"9203","Battery","Business/Retail/Resturant","No","No","4","10","Friday"
"9204","Battery","Street","Yes","Yes","10","6","Sunday"
"9205","Battery","Street","Yes","Yes","1","17","Saturday"
"9206","Assault","Street","No","Yes","11","21","Monday"
"9207","Burglary","Business/Retail/Resturant","No","No","16","21","Sunday"
"9208","Damage","Street","Yes","No","10","0","Friday"
"9209","Trespass","Public Transportation","Yes","No","11","17","Thursday"
"9210","Theft","Residential","No","No","24","7","Tuesday"
"9211","Battery","Street","No","No","3","20","Friday"
"9212","Assault","Residential","No","Yes","15","14","Friday"
"9213","Damage","Street","No","No","22","1","Friday"
"9214","Drugs/Alcohol","Street","Yes","No","2","12","Monday"
"9215","Assault","Business/Retail/Resturant","Yes","No","22","16","Saturday"
"9216","Fraud","Business/Retail/Resturant","No","No","19","15","Wednesday"
"9217","Fraud","Public Transportation","No","No","1","16","Friday"
"9218","Burglary","Residential","No","No","16","5","Sunday"
"9219","Other","Residential","No","Yes","2","19","Sunday"
"9220","Assault","Residential","No","Yes","8","8","Wednesday"
"9221","Assault","Business/Retail/Resturant","No","No","18","16","Sunday"
"9222","Trespass","Business/Retail/Resturant","No","No","7","22","Saturday"
"9223","Assault","Other","No","No","10","11","Tuesday"
"9224","Sexual","Residential","No","No","19","17","Saturday"
"9225","Damage","Residential","No","No","15","1","Friday"
"9226","Weapons","Street","No","No","4","4","Sunday"
"9227","Burglary","Residential","No","No","11","14","Friday"
"9228","Damage","Street","No","No","24","18","Thursday"
"9229","Drugs/Alcohol","Street","Yes","No","6","18","Tuesday"
"9230","Theft","Residential","No","No","2","18","Monday"
"9231","Trespass","Residential","No","No","2","17","Thursday"
"9232","Theft","Residential","No","No","9","7","Thursday"
"9233","Damage","Street","No","No","3","19","Friday"
"9234","Drugs/Alcohol","Street","Yes","No","10","22","Thursday"
"9235","Battery","Residential","No","Yes","7","22","Friday"
"9236","Other","Business/Retail/Resturant","No","No","25","9","Wednesday"
"9237","Other","Street","Yes","No","4","19","Friday"
"9238","Damage","Residential","No","No","6","13","Sunday"
"9239","Robbery","Street","No","No","7","16","Tuesday"
"9240","Other","Street","No","No","15","14","Tuesday"
"9241","Auto Theft","Street","No","No","8","15","Thursday"
"9242","Assault","Business/Retail/Resturant","No","No","2","13","Monday"
"9243","Theft","Business/Retail/Resturant","No","No","25","22","Tuesday"
"9244","Theft","Street","No","No","8","3","Wednesday"
"9245","Damage","Street","No","Yes","10","22","Saturday"
"9246","Theft","Airport","No","No","8","14","Friday"
"9247","Theft","Business/Retail/Resturant","No","No","3","1","Tuesday"
"9248","Theft","Government Building/Land","No","No","12","20","Monday"
"9249","Battery","Medical/Hospital","No","No","15","10","Monday"
"9250","Fraud","Residential","No","Yes","4","11","Friday"
"9251","Burglary","Residential","No","No","8","23","Saturday"
"9252","Other","Medical/Hospital","No","No","1","11","Sunday"
"9253","Theft","Business/Retail/Resturant","No","No","18","4","Friday"
"9254","Theft","Residential","No","No","9","8","Tuesday"
"9255","Battery","Other","No","No","2","17","Sunday"
"9256","Theft","Residential","No","No","19","19","Friday"
"9257","Drugs/Alcohol","Street","Yes","No","4","19","Friday"
"9258","Battery","Street","No","Yes","17","13","Saturday"
"9259","Theft","Street","No","No","22","6","Tuesday"
"9260","Battery","Street","No","Yes","4","7","Saturday"
"9261","Theft","Residential","No","No","24","12","Wednesday"
"9262","Battery","Residential","No","Yes","7","1","Friday"
"9263","Burglary","Residential","Yes","No","10","15","Sunday"
"9264","Battery","School/College","No","No","10","8","Wednesday"
"9265","Theft","Medical/Hospital","No","No","3","0","Saturday"
"9266","Assault","Residential","No","Yes","5","14","Sunday"
"9267","Battery","Public Transportation","No","No","1","22","Tuesday"
"9268","Robbery","Business/Retail/Resturant","Yes","No","24","20","Wednesday"
"9269","Theft","Street","No","No","8","20","Tuesday"
"9270","Damage","Other","Yes","No","19","17","Sunday"
"9271","Fraud","Residential","No","No","9","15","Sunday"
"9272","Weapons","Residential","Yes","No","11","21","Friday"
"9273","Assault","Street","No","No","14","1","Sunday"
"9274","Battery","Other","No","No","19","16","Saturday"
"9275","Assault","Residential","No","Yes","8","15","Thursday"
"9276","Sexual","Residential","No","No","24","23","Tuesday"
"9277","Battery","Residential","No","Yes","8","20","Saturday"
"9278","Theft","Street","No","No","15","22","Tuesday"
"9279","Theft","Public Transportation","No","No","24","7","Tuesday"
"9280","Theft","Residential","No","No","16","10","Tuesday"
"9281","Battery","Business/Retail/Resturant","No","No","25","12","Thursday"
"9282","Fraud","Other","No","No","20","0","Wednesday"
"9283","Battery","Residential","No","Yes","4","20","Wednesday"
"9284","Fraud","Street","No","No","1","11","Friday"
"9285","Damage","Other","No","No","22","4","Sunday"
"9286","Other","Street","Yes","No","6","8","Tuesday"
"9287","Fraud","Business/Retail/Resturant","No","No","19","0","Tuesday"
"9288","Theft","Residential","No","No","19","21","Sunday"
"9289","Damage","Street","No","No","22","6","Monday"
"9290","Theft","Street","No","No","11","10","Thursday"
"9291","Battery","Street","No","No","5","19","Thursday"
"9292","Fraud","Other","No","No","18","17","Tuesday"
"9293","Theft","Business/Retail/Resturant","Yes","No","4","16","Wednesday"
"9294","Battery","Street","No","No","1","10","Monday"
"9295","Theft","Public Transportation","No","No","5","13","Saturday"
"9296","Homicide","Government Building/Land","Yes","No","1","14","Tuesday"
"9297","Damage","Street","No","No","15","18","Thursday"
"9298","Battery","Residential","No","Yes","25","10","Wednesday"
"9299","Battery","Residential","No","Yes","2","8","Thursday"
"9300","Theft","Business/Retail/Resturant","Yes","No","1","14","Tuesday"
"9301","Theft","Street","No","No","25","9","Monday"
"9302","Theft","Street","No","No","12","2","Sunday"
"9303","Battery","Residential","Yes","Yes","15","3","Saturday"
"9304","Damage","Street","No","No","10","1","Sunday"
"9305","Battery","Residential","No","Yes","8","10","Monday"
"9306","Fraud","Residential","No","No","16","11","Tuesday"
"9307","Damage","Street","No","No","4","0","Thursday"
"9308","Auto Theft","Street","No","No","4","4","Tuesday"
"9309","Other","Residential","No","No","4","22","Wednesday"
"9310","Theft","Other","No","No","8","3","Thursday"
"9311","Other","Residential","No","Yes","12","21","Sunday"
"9312","Theft","Street","No","No","12","12","Thursday"
"9313","Trespass","Residential","No","No","11","7","Saturday"
"9314","Auto Theft","Street","No","No","3","15","Friday"
"9315","Damage","Residential","No","Yes","3","9","Tuesday"
"9316","Robbery","Street","No","No","4","7","Tuesday"
"9317","Battery","Street","No","No","17","19","Friday"
"9318","Weapons","Street","No","No","7","2","Friday"
"9319","Damage","Residential","No","No","18","17","Thursday"
"9320","Weapons","Street","No","No","8","22","Saturday"
"9321","Theft","Street","No","No","11","22","Sunday"
"9322","Battery","Street","No","Yes","6","4","Saturday"
"9323","Burglary","Residential","No","No","4","19","Friday"
"9324","Theft","Business/Retail/Resturant","No","No","14","21","Tuesday"
"9325","Theft","Residential","No","No","12","9","Monday"
"9326","Theft","Residential","No","Yes","9","22","Sunday"
"9327","Theft","Business/Retail/Resturant","Yes","No","5","19","Friday"
"9328","Auto Theft","Street","No","No","24","19","Tuesday"
"9329","Battery","Residential","No","Yes","22","16","Wednesday"
"9330","Weapons","Street","No","No","4","23","Tuesday"
"9331","Theft","Street","No","No","18","20","Thursday"
"9332","Assault","Street","No","No","25","21","Tuesday"
"9333","Battery","Street","No","No","22","15","Friday"
"9334","Theft","Business/Retail/Resturant","Yes","No","15","10","Saturday"
"9335","Auto Theft","Street","No","No","12","12","Friday"
"9336","Trespass","Public Transportation","Yes","No","11","18","Saturday"
"9337","Battery","Residential","Yes","No","3","11","Tuesday"
"9338","Robbery","Street","No","No","11","2","Sunday"
"9339","Battery","Street","No","No","5","19","Wednesday"
"9340","Robbery","Street","No","No","18","19","Monday"
"9341","Assault","Residential","No","Yes","4","10","Saturday"
"9342","Theft","Business/Retail/Resturant","No","No","18","19","Thursday"
"9343","Battery","Residential","No","Yes","6","14","Sunday"
"9344","Burglary","Residential","No","No","10","19","Thursday"
"9345","Damage","Business/Retail/Resturant","No","No","17","4","Thursday"
"9346","Other","Residential","No","No","2","4","Tuesday"
"9347","Sexual","Residential","No","No","8","2","Tuesday"
"9348","Theft","Residential","No","No","1","2","Friday"
"9349","Other","Street","Yes","No","3","16","Monday"
"9350","Burglary","Business/Retail/Resturant","No","No","19","4","Thursday"
"9351","Other","Residential","No","Yes","8","1","Sunday"
"9352","Theft","Business/Retail/Resturant","Yes","No","2","9","Thursday"
"9353","Theft","Vehicle/Boat","No","No","8","23","Monday"
"9354","Battery","Residential","No","Yes","11","15","Friday"
"9355","Disturbing the Peace","Residential","Yes","Yes","24","2","Tuesday"
"9356","Robbery","Residential","No","No","24","1","Monday"
"9357","Damage","Street","No","No","6","12","Saturday"
"9358","Other","Other","No","No","12","17","Wednesday"
"9359","Theft","Street","No","No","7","19","Tuesday"
"9360","Other","Other","No","No","11","11","Monday"
"9361","Theft","Business/Retail/Resturant","No","No","4","18","Wednesday"
"9362","Theft","Public Transportation","No","No","4","13","Thursday"
"9363","Assault","School/College","No","No","1","10","Wednesday"
"9364","Robbery","Street","No","No","11","17","Monday"
"9365","Theft","Street","No","No","3","22","Thursday"
"9366","Battery","School/College","No","No","12","11","Friday"
"9367","Assault","Street","Yes","No","4","14","Wednesday"
"9368","Theft","Medical/Hospital","No","No","2","9","Sunday"
"9369","Assault","Residential","No","Yes","15","20","Thursday"
"9370","Damage","Street","No","Yes","25","23","Tuesday"
"9371","Fraud","Residential","No","No","1","10","Sunday"
"9372","Battery","Residential","No","Yes","22","8","Saturday"
"9373","Assault","Street","No","No","5","13","Tuesday"
"9374","Other","Business/Retail/Resturant","No","Yes","25","9","Saturday"
"9375","Other","Residential","No","No","8","21","Monday"
"9376","Robbery","Public Transportation","Yes","No","5","22","Sunday"
"9377","Assault","Residential","No","Yes","15","23","Monday"
"9378","Other","Residential","No","Yes","14","17","Wednesday"
"9379","Battery","Residential","No","No","6","9","Tuesday"
"9380","Theft","Other","No","Yes","11","22","Friday"
"9381","Battery","Street","No","Yes","11","8","Thursday"
"9382","Fraud","Other","No","No","22","0","Thursday"
"9383","Other","Business/Retail/Resturant","No","No","17","21","Thursday"
"9384","Burglary","Residential","No","No","14","4","Tuesday"
"9385","Damage","Other","No","No","9","11","Friday"
"9386","Weapons","Vehicle/Boat","Yes","No","10","18","Wednesday"
"9387","Theft","Residential","No","Yes","11","11","Wednesday"
"9388","Damage","Street","No","No","17","7","Thursday"
"9389","Other","Residential","No","No","14","0","Thursday"
"9390","Weapons","Vehicle/Boat","Yes","No","20","22","Monday"
"9391","Battery","Public Transportation","No","No","15","2","Saturday"
"9392","Damage","Residential","No","Yes","3","22","Wednesday"
"9393","Battery","Residential","No","Yes","17","23","Saturday"
"9394","Battery","Residential","No","Yes","15","2","Saturday"
"9395","Battery","Residential","Yes","No","15","22","Tuesday"
"9396","Burglary","Residential","No","No","3","9","Tuesday"
"9397","Battery","Street","No","Yes","25","9","Wednesday"
"9398","Damage","Business/Retail/Resturant","No","No","15","16","Sunday"
"9399","Other","Other","No","Yes","1","11","Tuesday"
"9400","Assault","Airport","No","Yes","8","10","Saturday"
"9401","Auto Theft","Street","No","No","6","9","Wednesday"
"9402","Robbery","Street","No","No","18","18","Saturday"
"9403","Theft","Public Transportation","No","No","24","8","Tuesday"
"9404","Burglary","Residential","No","No","8","11","Thursday"
"9405","Robbery","Business/Retail/Resturant","No","No","9","19","Thursday"
"9406","Battery","Residential","Yes","No","7","16","Saturday"
"9407","Theft","Residential","No","No","19","12","Wednesday"
"9408","Homicide","Street","No","No","6","21","Monday"
"9409","Battery","Street","No","No","9","11","Saturday"
"9410","Robbery","Street","No","No","3","22","Sunday"
"9411","Battery","Other","No","No","18","18","Thursday"
"9412","Battery","Public Transportation","No","No","6","20","Monday"
"9413","Theft","Street","No","No","18","16","Friday"
"9414","Theft","Street","No","No","15","17","Sunday"
"9415","Theft","Residential","No","No","5","16","Sunday"
"9416","Theft","Other","No","No","25","10","Sunday"
"9417","Sexual","Residential","No","Yes","19","0","Monday"
"9418","Sexual","Business/Retail/Resturant","No","No","8","17","Friday"
"9419","Damage","Street","No","No","2","11","Wednesday"
"9420","Damage","Residential","No","No","8","1","Monday"
"9421","Damage","Street","No","No","10","7","Friday"
"9422","Theft","Street","No","No","19","12","Sunday"
"9423","Auto Theft","Street","No","No","2","3","Friday"
"9424","Battery","Street","Yes","Yes","6","0","Wednesday"
"9425","Theft","Residential","No","No","24","0","Monday"
"9426","Other","Residential","Yes","No","6","8","Thursday"
"9427","Battery","Residential","No","Yes","4","22","Wednesday"
"9428","Burglary","Business/Retail/Resturant","No","No","1","22","Wednesday"
"9429","Drugs/Alcohol","Residential","Yes","No","11","17","Tuesday"
"9430","Damage","Residential","No","No","15","22","Monday"
"9431","Burglary","Residential","No","No","3","12","Saturday"
"9432","Theft","Street","No","No","14","18","Monday"
"9433","Robbery","Residential","No","No","11","4","Saturday"
"9434","Theft","Government Building/Land","No","No","18","17","Friday"
"9435","Damage","Street","No","No","18","16","Wednesday"
"9436","Assault","Street","No","No","8","20","Thursday"
"9437","Assault","Residential","No","Yes","10","0","Tuesday"
"9438","Theft","Business/Retail/Resturant","No","No","2","22","Sunday"
"9439","Theft","Public Transportation","No","No","6","22","Tuesday"
"9440","Damage","Street","No","No","18","9","Wednesday"
"9441","Weapons","Street","Yes","No","8","22","Wednesday"
"9442","Trespass","Residential","No","No","7","6","Thursday"
"9443","Burglary","Residential","No","No","10","3","Friday"
"9444","Auto Theft","Street","No","No","6","11","Sunday"
"9445","Robbery","Business/Retail/Resturant","No","No","3","21","Wednesday"
"9446","Robbery","Street","No","No","9","13","Friday"
"9447","Assault","Residential","No","No","16","20","Monday"
"9448","Fraud","Business/Retail/Resturant","No","No","18","13","Thursday"
"9449","Damage","Street","No","No","7","17","Wednesday"
"9450","Battery","Residential","Yes","Yes","4","2","Tuesday"
"9451","Assault","Street","No","No","22","12","Friday"
"9452","Drugs/Alcohol","Street","Yes","No","10","15","Thursday"
"9453","Damage","Residential","No","No","16","22","Wednesday"
"9454","Drugs/Alcohol","Street","Yes","No","15","13","Monday"
"9455","Theft","Residential","No","No","22","12","Tuesday"
"9456","Damage","Street","No","No","25","11","Saturday"
"9457","Fraud","School/College","No","No","2","10","Tuesday"
"9458","Theft","Residential","No","No","9","0","Wednesday"
"9459","Fraud","Government Building/Land","No","No","5","11","Friday"
"9460","Battery","Residential","No","Yes","19","17","Saturday"
"9461","Damage","Street","No","No","6","11","Friday"
"9462","Theft","Vehicle/Boat","No","No","2","21","Tuesday"
"9463","Fraud","Other","No","No","3","12","Tuesday"
"9464","Trespass","Other","Yes","No","10","11","Monday"
"9465","Theft","Residential","No","No","2","14","Sunday"
"9466","Battery","Residential","No","Yes","2","5","Sunday"
"9467","Battery","Government Building/Land","No","No","5","17","Tuesday"
"9468","Trespass","Public Transportation","Yes","No","24","8","Friday"
"9469","Drugs/Alcohol","Government Building/Land","Yes","No","24","20","Sunday"
"9470","Battery","Residential","Yes","Yes","4","1","Monday"
"9471","Theft","Business/Retail/Resturant","No","No","1","13","Monday"
"9472","Assault","Residential","No","No","3","10","Wednesday"
"9473","Battery","Residential","Yes","No","3","15","Thursday"
"9474","Drugs/Alcohol","Street","Yes","No","7","13","Monday"
"9475","Theft","Business/Retail/Resturant","Yes","No","11","11","Thursday"
"9476","Disturbing the Peace","Street","Yes","No","4","21","Monday"
"9477","Battery","Residential","No","Yes","20","14","Tuesday"
"9478","Fraud","Residential","No","No","2","6","Tuesday"
"9479","Robbery","Street","No","No","14","11","Tuesday"
"9480","Battery","Business/Retail/Resturant","No","No","1","10","Tuesday"
"9481","Theft","Residential","No","No","25","16","Saturday"
"9482","Damage","Residential","No","No","12","11","Wednesday"
"9483","Theft","Residential","No","No","12","18","Wednesday"
"9484","Burglary","Residential","No","No","10","10","Tuesday"
"9485","Battery","Residential","No","Yes","11","11","Monday"
"9486","Theft","Business/Retail/Resturant","Yes","No","7","18","Thursday"
"9487","Theft","Public Transportation","No","No","1","12","Wednesday"
"9488","Fraud","Other","No","No","25","18","Thursday"
"9489","Other","Residential","No","No","8","12","Saturday"
"9490","Other","Residential","No","Yes","4","1","Friday"
"9491","Theft","Street","No","No","1","11","Thursday"
"9492","Theft","Business/Retail/Resturant","No","No","18","21","Thursday"
"9493","Burglary","Business/Retail/Resturant","No","No","1","10","Wednesday"
"9494","Fraud","Vehicle/Boat","No","No","17","7","Sunday"
"9495","Battery","Street","No","No","1","20","Wednesday"
"9496","Assault","School/College","No","No","8","12","Thursday"
"9497","Theft","Public Transportation","No","No","1","16","Wednesday"
"9498","Disturbing the Peace","Residential","Yes","Yes","18","3","Saturday"
"9499","Assault","Residential","No","Yes","10","11","Tuesday"
"9500","Fraud","Business/Retail/Resturant","No","No","10","9","Tuesday"
"9501","Assault","Street","No","No","6","22","Sunday"
"9502","Fraud","Business/Retail/Resturant","No","No","18","11","Tuesday"
"9503","Battery","Government Building/Land","No","No","9","15","Saturday"
"9504","Battery","Street","No","No","17","7","Wednesday"
"9505","Theft","Medical/Hospital","No","No","17","21","Saturday"
"9506","Drugs/Alcohol","Vehicle/Boat","Yes","No","11","13","Monday"
"9507","Burglary","Residential","No","No","12","17","Wednesday"
"9508","Battery","Street","No","Yes","2","15","Tuesday"
"9509","Other","Street","No","No","17","14","Wednesday"
"9510","Weapons","Street","Yes","No","11","23","Wednesday"
"9511","Theft","Business/Retail/Resturant","No","No","1","15","Monday"
"9512","Battery","Residential","Yes","No","2","1","Sunday"
"9513","Weapons","Residential","Yes","No","18","11","Saturday"
"9514","Battery","Street","Yes","No","2","18","Tuesday"
"9515","Fraud","Business/Retail/Resturant","No","No","18","13","Friday"
"9516","Damage","Residential","Yes","Yes","3","2","Sunday"
"9517","Fraud","Residential","No","No","19","16","Friday"
"9518","Drugs/Alcohol","Street","Yes","No","2","4","Tuesday"
"9519","Theft","Residential","No","No","22","12","Monday"
"9520","Assault","Business/Retail/Resturant","Yes","No","4","12","Friday"
"9521","Battery","Residential","No","Yes","20","13","Thursday"
"9522","Battery","Residential","Yes","No","12","2","Thursday"
"9523","Drugs/Alcohol","Street","Yes","No","11","11","Monday"
"9524","Battery","Residential","No","Yes","4","1","Sunday"
"9525","Other","Residential","No","No","10","17","Tuesday"
"9526","Trespass","Street","Yes","No","20","8","Monday"
"9527","Theft","Business/Retail/Resturant","No","No","1","13","Friday"
"9528","Assault","Residential","No","No","7","16","Monday"
"9529","Theft","Residential","No","No","12","10","Sunday"
"9530","Battery","Street","No","No","11","5","Sunday"
"9531","Burglary","Residential","No","No","19","9","Wednesday"
"9532","Theft","Residential","No","No","8","9","Monday"
"9533","Other","Residential","No","No","7","15","Thursday"
"9534","Theft","Street","No","No","18","14","Friday"
"9535","Damage","Residential","No","No","5","8","Saturday"
"9536","Fraud","Residential","No","No","24","12","Monday"
"9537","Battery","Residential","No","Yes","17","9","Monday"
"9538","Assault","Residential","No","Yes","8","22","Tuesday"
"9539","Fraud","Other","No","No","1","17","Tuesday"
"9540","Trespass","Business/Retail/Resturant","Yes","No","22","18","Tuesday"
"9541","Theft","Airport","No","No","16","17","Wednesday"
"9542","Other","Residential","No","Yes","9","14","Tuesday"
"9543","Fraud","Residential","No","No","25","13","Thursday"
"9544","Trespass","Residential","No","No","12","8","Saturday"
"9545","Battery","Street","No","Yes","3","21","Wednesday"
"9546","Trespass","Business/Retail/Resturant","Yes","No","19","21","Sunday"
"9547","Drugs/Alcohol","Street","Yes","No","7","15","Thursday"
"9548","Burglary","Residential","No","No","9","9","Saturday"
"9549","Burglary","Residential","No","No","8","19","Sunday"
"9550","Drugs/Alcohol","Street","Yes","No","22","10","Wednesday"
"9551","Battery","Residential","No","Yes","2","21","Monday"
"9552","Drugs/Alcohol","Business/Retail/Resturant","Yes","No","11","9","Thursday"
"9553","Battery","Business/Retail/Resturant","Yes","No","18","1","Sunday"
"9554","Theft","Business/Retail/Resturant","No","No","1","11","Monday"
"9555","Drugs/Alcohol","Business/Retail/Resturant","Yes","No","5","17","Thursday"
"9556","Fraud","Airport","No","No","16","20","Tuesday"
"9557","Theft","Residential","No","No","8","5","Monday"
"9558","Other","Street","Yes","No","6","19","Wednesday"
"9559","Theft","Business/Retail/Resturant","No","No","1","19","Saturday"
"9560","Fraud","Residential","No","No","6","9","Friday"
"9561","Trespass","Business/Retail/Resturant","Yes","No","19","14","Friday"
"9562","Damage","Street","No","No","12","9","Friday"
"9563","Auto Theft","Street","No","No","19","17","Saturday"
"9564","Assault","Residential","No","No","3","7","Thursday"
"9565","Battery","Street","No","Yes","6","19","Thursday"
"9566","Battery","Business/Retail/Resturant","No","No","6","20","Saturday"
"9567","Assault","Residential","No","Yes","6","18","Tuesday"
"9568","Other","Residential","No","Yes","5","12","Tuesday"
